id,hanzi,pinyin,pos,hanviet,vi,created_at,lesson_label,count_done,count_target,cau_truc,ket_hop,nghia,dong_am,gan_nghia,course
biz-一丝不苟,一丝不苟,yī sī bù gǒu,语,nhất ti bất cẩu,"tỉ mỉ, không sơ suất chút nào",2026-06-14 08:29:39.072707+00,Bài 10,0,10,,,,,,biz
biz-一代,一代,yī dài,名,nhất đại,"một thế hệ, một đời",2026-06-14 08:29:25.543568+00,Bài 10,0,10,,,,,,biz
biz-一分货,一分货,yī fēn huò,短,nhất phân hóa,"một phần hàng, xứng giá trị",2026-06-14 08:29:32.811652+00,Bài 10,0,10,,,,,,biz
biz-一号,一号,yī hào,名,nhất hiệu,"ngày mồng một, số một",2026-06-14 08:28:21.262052+00,Bai 8,0,10,,,,,,biz
biz-一向,一向,yī xiàng,副,nhất hướng,"từ trước đến nay, luôn luôn",2026-06-14 08:28:30.095369+00,Bai 8,0,10,,,,,,biz
biz-一季度,一季度,yī jìdù,名,nhất quý độ,một quý (ba tháng),2026-06-14 08:29:34.467506+00,Bài 10,0,10,,,,,,biz
biz-一定,一定,yī dìng,副,nhất định,"nhất định, chắc chắn",2026-06-14 08:27:45.02315+00,Bài 6,0,10,,,,,,biz
biz-一样,一样,yī yàng,形,nhất dạng,"giống nhau, như nhau",2026-06-14 08:27:42.857755+00,Bài 6,0,10,,,,,,biz
biz-一般,一般,yī bān,形,nhất ban,"bình thường, nói chung",2026-06-14 08:28:12.480817+00,Bài 6,0,10,,,,,,biz
biz-一语中的,一语中的,yī yǔ zhòng dì,语,nhất ngữ trúng đích,một câu nói trúng đích,2026-06-14 08:28:12.738576+00,Bài 6,0,10,,,,,,biz
biz-一部分,一部分,yī bùfen,名,nhất bộ phần,"một phần, một bộ phận",2026-06-14 08:27:43.755615+00,Bài 6,0,10,,,,,,biz
biz-上午,上午,shàngwǔ,名,thượng ngọ,buổi sáng,2026-06-14 08:28:24.138839+00,Bai 8,0,10,,,,,,biz
biz-上涨,上涨,shàngzhǎng,动,thượng trướng,"tăng lên, leo thang",2026-06-14 08:29:32.085803+00,Bài 10,0,10,,,,,,biz
biz-不同,不同,bùtóng,形,bất đồng,"khác nhau, không giống",2026-06-14 08:28:35.209493+00,Bai 8,0,10,,,,,,biz
biz-不妨,不妨,bùfáng,副,bất phương,"có thể thử, chẳng ngại",2026-06-14 08:29:07.152397+00,Bai 9,0,10,,,,,,biz
biz-不快,不快,bùkuài,形,bất khoái,"không vui, khó chịu",2026-06-14 08:29:20.686406+00,Bai 9,0,10,,,,,,biz
